<attribute name>,RebalanceFlag,,,,,,,,,,,,,,,,,,,,,
<owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<association>,Portfolio Return,,,,,,,,,,,,,,,,,,,,,
<type>,Real Number,,,,,,,,,,,,,,,,,,,,,
<maximum age>,1 day,,,,,,,,,,,,,,,,,,,,,
<portfolio>,BK_CAE5EST_GEMLT_BTP,,,,,,,,,,,,,,,,,,,,,
<portfolio owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<date>,<value>,<currency>,,,,,,,,,,,,,,,,,,,,
3/30/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
3/31/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
